,Unnamed: 0_x,CDS_uniq,max_lst,min_lst,med_lst,sd_lst,Unnamed: 0_y,lat,lon,mean_lst
0,0,38684786040695,299.59909502262434,299.59909502262434,299.59909502262434,0.0,0,37.7830049851,-122.482302071,299.59909502262434
1,1,38684786040703,301.4342063492066,301.4342063492066,301.4342063492066,0.0,1,37.753681782,-122.438192822,301.4342063492066
2,2,38684786062020,300.3690654205607,300.1385221674877,300.1385221674877,0.0558056365555937,2,37.7296726129,-122.46578032,300.16216174445793
3,3,38684786040737,299.59909502262434,296.7583636363637,299.59909502262434,1.1362925545047826,3,37.7753060755,-122.47631143,299.0630439044775
4,4,38684783830387,298.8709401709402,298.45222222222225,298.45222222222225,0.1909291491892427,4,37.7446327025,-122.448536469,298.572972374482
5,5,38684780119958,298.8709401709402,298.45222222222225,298.45222222222225,0.1909291491892427,5,37.7446327025,-122.448536469,298.572972374482
6,6,38684783830288,301.13852173913045,300.3006034482757,300.3006034482757,0.3858138732903966,6,37.7211435791,-122.44139727,300.5542462567972
7,7,38684783830411,300.3006034482757,300.3006034482757,300.3006034482757,0.0,7,37.7213105331,-122.443183844,300.3006034482757
8,8,38684786059869,300.3006034482757,300.3006034482757,300.3006034482757,0.0,8,37.7213105331,-122.443183844,300.3006034482757
9,9,38684786040778,303.9114068441065,303.9114068441065,303.9114068441065,0.0,9,37.7552286941,-122.408860695,303.9114068441065
10,10,38684780119875,303.9114068441065,303.9114068441065,303.9114068441065,0.0,10,37.7552286941,-122.408860695,303.9114068441065
11,11,38684786062046,304.1786100386102,302.88824902723763,302.88824902723763,0.438638398459079,11,37.7530336908,-122.420177691,303.0070299177681
12,12,38684783830254,301.8403137254902,299.15968127490044,301.8403137254902,0.3698926750367122,12,37.7215447195,-122.40655222,301.78491544329216
13,13,38684786040752,302.3830830039525,302.3830830039525,302.3830830039525,7.62939453125e-06,13,37.7763811049,-122.406455991,302.3830830039525
14,14,38684786093496,303.2790874524713,303.2790874524713,303.2790874524713,0.0,14,37.7316652462,-122.385335395,303.2790874524713
15,15,38684786041149,304.1786100386102,304.1786100386102,304.1786100386102,0.0,15,37.7549218596,-122.414878042,304.1786100386102
16,16,38684786113252,297.58708487084857,297.58708487084857,297.58708487084857,0.0,16,37.7986108423,-122.403217503,297.58708487084857
17,17,38684786089569,297.58708487084857,297.58708487084857,297.58708487084857,0.0,17,37.7947682452,-122.404057798,298.7729608132886
18,18,38684780120386,299.8092682926829,299.8092682926829,299.8092682926829,0.0,18,37.7698273808,-122.444278265,299.8092682926829
19,19,38684780102103,301.13852173913045,298.4683950617283,298.4683950617283,1.1508708841527575,19,37.7186829082,-122.42465149,299.1129576689828
