,CDS_uniq,lat,lon,mean_lst
0,38684786040695,37.7830049851,-122.482302071,299.59909502262434
1,38684786040703,37.753681782,-122.438192822,301.4342063492066
2,38684786062020,37.7296726129,-122.46578032,300.16216174445793
3,38684786040737,37.7753060755,-122.47631143,299.0630439044775
4,38684783830387,37.7446327025,-122.448536469,298.572972374482
5,38684780119958,37.7446327025,-122.448536469,298.572972374482
6,38684783830288,37.7211435791,-122.44139727,300.55424625679717
7,38684783830411,37.7213105331,-122.443183844,300.3006034482757
8,38684786059869,37.7213105331,-122.443183844,300.3006034482757
9,38684786040778,37.7552286941,-122.408860695,303.9114068441065
10,38684780119875,37.7552286941,-122.408860695,303.9114068441065
11,38684786062046,37.7530336908,-122.420177691,303.0070299177681
12,38684783830254,37.7215447195,-122.40655222,301.78491544329216
13,38684786040752,37.7763811049,-122.406455991,302.3830830039525
14,38684786093496,37.7316652462,-122.385335395,303.2790874524713
15,38684786041149,37.7549218596,-122.414878042,304.1786100386102
16,38684786113252,37.7986108423,-122.403217503,297.58708487084857
17,38684786089569,37.7947682452,-122.404057798,298.7729608132886
18,38684780120386,37.7698273808,-122.444278265,299.8092682926829
19,38684780102103,37.7186829082,-122.42465149,299.1129576689828
20,38684780107300,37.7186829082,-122.42465149,299.1129576689828
21,38684786040828,37.7537555441,-122.456266531,296.9089592760181
22,38684786040836,37.7203231323,-122.428878846,300.4883806743923
23,38684786040968,37.7876803356,-122.439542178,301.27240816326537
24,38684786112601,37.7795559461,-122.435981114,301.3193650793652
25,38684783830064,37.7613964995,-122.403702959,304.5536964980545
26,38684786104673,37.7317947132,-122.393887302,303.3621318120059
27,38684786040935,37.7545507564,-122.42604344,302.88824902723763
28,38684786040950,37.7186566392,-122.40785526,299.15968127490044
29,38684786062038,37.7635761845,-122.429364606,302.90023437499997
30,38684786041545,37.7634545667,-122.430356811,302.90023437499997
31,38684786040984,37.7404344162,-122.425013,301.879841897233
32,38684780111427,37.7396857282,-122.481366453,299.4666475009399
33,38684780118141,37.7771070169,-122.40222977,303.47214007782117
34,38684780118133,37.7771070169,-122.40222977,303.47214007782117
35,38684786041347,37.7477452025,-122.41196746,302.6079389312978
36,38684786059844,37.8045680719,-122.410968542,299.4500392005349
37,38684783831765,37.803790257,-122.424145177,298.697751004016
38,38684786041040,37.8020365815,-122.406694818,299.82746042918143
39,38684783830437,37.7832635868,-122.43668869,301.6481710228433
40,38684780101352,37.7832635868,-122.43668869,301.6481710228433
41,38684780123117,37.792866687,-122.433599207,300.01463829787247
42,38684780123265,37.792866687,-122.433599207,300.01463829787247
43,38684786059828,37.750303123,-122.496665854,299.29951241878274
44,38684786113997,37.7505234673,-122.499155014,297.74221236234854
45,38684786041073,37.7331313945,-122.435620979,300.01106040144145
46,38684786041115,37.7634909581,-122.450420616,298.6236290322579
47,38684786041123,37.7101830867,-122.434030663,299.98713397321546
48,38684786040760,37.7178978854,-122.389223468,302.63555555555564
49,38684786041156,37.7284140084,-122.418688477,300.8485039370078
50,38684786059851,37.7455553453,-122.46896555,299.48096192804616
51,38684786041230,37.7629241273,-122.476567678,298.5662135922331
52,38684786041008,37.758097729,-122.501999531,297.7858523779858
53,38684786041602,37.7533266594,-122.399052944,303.8419844716123
54,38684786059885,37.7277421947,-122.405804762,302.3990697674418
55,38684786040943,37.7273291046,-122.407308678,302.3802837881355
56,38684780101337,37.7195489722,-122.396243014,301.84812297423053
57,38684780127530,37.7616836584,-122.400110055,303.8803100775194
58,38684786041305,37.7770689989,-122.496883405,298.368
59,38684786041321,37.7303235273,-122.485423489,299.62201562631543
60,38684783833407,37.7294352996,-122.483054124,299.3767382649969
