,unique_ide,mean_lst,max_lst,min_lst,sd_lst,latitude,longitude
54,1206/003_2018,301.93952191235076,301.93952191235076,301.93952191235076,0.0,37.77388539244031,-122.44182647325324
55,0029/007_2018,299.8510077519379,299.8510077519379,299.8510077519379,0.0,37.80588536395507,-122.4159452469385
56,0325/031_2018,301.402791103802,301.4089682539681,301.3270042194094,0.02868143749661474,37.785643867281856,-122.4104123441062
57,8711/025_2018,299.36666666666673,299.36666666666673,299.36666666666673,0.0,37.773257936777256,-122.39093852857148
58,3901/005_2018,303.7186055490869,303.9268679245282,303.26286821705406,0.3285946369550301,37.76843488668652,-122.41273556368913
59,3766/262_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.78651209632277,-122.39128497984348
60,0263/011_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79294896724541,-122.3980986120528
61,6574/069_2018,302.6079389312978,302.6079389312978,302.6079389312978,4.404832986371046e-06,37.74764808102109,-122.4191505462615
62,3701/059_2018,302.3830830039525,302.3830830039525,302.3830830039525,3.4119689598080286e-06,37.77794682058295,-122.41479115990082
63,3736/123_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.7864978139876,-122.39702758559692
64,8705/012_2018,303.262367620917,303.47214007782117,303.47214007782117,0.0,37.77551881269145,-122.39422831687098
65,8705/011_2018,303.262367620917,303.47214007782117,303.47214007782117,0.0,37.77551881269145,-122.39422831687098
66,0314/018_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.7869973582598,-122.40717487646648
67,3783/008_2018,303.88638783269977,303.88638783269977,303.88638783269977,0.0,37.77170589227072,-122.40268288174153
68,0269/001_2018,298.7901806345324,298.7633948339484,298.7633948339484,0.0,37.7914021289402,-122.40284361696854
69,3782/003_2018,303.9268679245282,303.9268679245282,303.9268679245282,0.0,37.77009601617911,-122.40627946085934
70,0446/002_2018,299.022092050209,299.022092050209,299.022092050209,0.0,37.804577882961134,-122.43301077406156
71,3713/006_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79387152105323,-122.3948652372935
72,0010/001_2018,299.8510077519379,299.8510077519379,299.8510077519379,0.0,37.8072779756384,-122.41947083883838
73,6221/004_2018,301.96038314176224,301.96038314176224,301.96038314176224,3.4119689598080286e-06,37.7154716319846,-122.41357774116264
74,0330/026_2018,301.37805610379166,301.4089682539681,301.3270042194094,0.04015401237929183,37.78487824326036,-122.40896478425422
75,0313/018_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.78736505101381,-122.40590408904416
76,3750/073_2018,298.78953506074845,298.7633948339484,298.7633948339484,0.0,37.78413166420554,-122.39591339717992
77,3515/040_2018,303.36071568127863,303.9268679245282,303.26286821705406,0.28752030737993667,37.77013759475605,-122.41598340128836
78,8707/009_2018,299.36666666666673,299.36666666666673,299.36666666666673,0.0,37.77338622160105,-122.3957566183563
79,3547/054_2018,303.26286821705406,303.26286821705406,303.26286821705406,0.0,37.76697229848201,-122.42049645975736
80,0234/017_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79433101776285,-122.39581105388211
81,3745/008_2018,293.15658536585374,293.15658536585374,293.15658536585374,3.114687274657158e-06,37.78871918135996,-122.39045472718982
82,3937/002A_2018,303.9058474040504,303.9268679245282,303.8803100775194,0.023278923376947598,37.76675156208234,-122.40243770718732
83,3720/008_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.78911922169917,-122.39588103961124
84,3180/006_2018,300.3006034482757,300.3006034482757,300.3006034482757,0.0,37.72398184847414,-122.45504724469004
85,3180/007_2018,300.3006034482757,300.3006034482757,300.3006034482757,0.0,37.72398184847414,-122.45504724469004
86,1691/019_2018,295.5076699029127,295.5076699029127,295.5076699029127,0.0,37.772354888417794,-122.50942725121
87,7521/002-C_2018,298.8709401709402,298.8709401709402,298.8709401709402,0.0,37.743743732856174,-122.43917456770004
88,3718/026_2018,293.15658536585374,293.15658536585374,293.15658536585374,3.4119689598080286e-06,37.79103366251204,-122.39476151796354
89,0142/001_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79902076538358,-122.40149903525612
90,0261/017-B_2018,299.2812398312731,300.886913580247,297.58708487084857,1.6329917088349146,37.792602350909085,-122.40043886370404
91,0261/017-A_2018,299.2812398312731,300.886913580247,297.58708487084857,1.6329917088349146,37.792602350909085,-122.40043886370404
